Ticker,Description
AALG,Leverage Shares 2X Long AAL Daily ETF
AAOG,Leverage Shares 2X Long AAOI Daily ETF
AAOX,Tradr 2X Long AAOI Daily ETF
AAOZ,Tradr 2X Short AAOI Daily ETF
AAPB,GraniteShares 2x Long AAPL Daily ETF
AAPE,Leverage Shares 2X Long AAPL Daily ETF
AAPU,Direxion Daily AAPL Bull 2X ETF
AAPX,T-Rex 2X Long Apple Daily Target ETF
ACHX,Corgi ACHR 2x Daily ETF
ACLZ,Corgi ACLS 2x Daily ETF
ACMM,Corgi ACMR 2x Daily ETF
ADBG,Leverage Shares 2X Long ADBE Daily ETF
ADBU,Direxion Daily ADBE Bull 2X ETF
ADIU,Leverage Shares 2X Long ADI Daily ETF
AEHG,Leverage Shares 2X Long AEHR Daily ETF
AFRU,T-REX 2X Long AFRM Daily Target ETF
AGQ,ProShares Ultra Silver 2x Shares
AIBD,Direxion Daily AI and Big Data Bear 2X ETF
AIBU,Direxion Daily AI and Big Data Bull 2X ETF
AKAL,T-REX 2X Long AKAM Daily Target ETF
ALA,Corgi ALAB 2x Daily ETF
ALBG,Leverage Shares 2X Long ALB Daily ETF
AMA,Defiance Daily Target 2X Long AMAT ETF
AMAA,Corgi AMZN 2x Daily ETF
AMAU,Leverage Shares 2X Long AMAT Daily ETF
AMDC,Corgi AMD 2x Daily ETF
AMDG,Leverage Shares 2X Long AMD Daily ETF
AMDL,GraniteShares 2x Long AMD Daily ETF
AMKL,Defiance Daily Target 2X Long AMKR ETF
AMKX,Corgi AMKR 2x Daily ETF
AMPU,Defiance Daily Target 2X Long AMPX ETF
AMUU,Direxion Daily AMD Bull 2X ETF
AMZG,Leverage Shares 2X Long AMZN Daily ETF
AMZO,Tradr 2X Short AMZN Daily ETF
AMZU,Direxion Daily AMZN Bull 2X ETF
AMZZ,GraniteShares 2x Long AMZN Daily ETF
ANEL,Defiance Daily Target 2x Long ANET ETF
APHG,Leverage Shares 2X Long APH Daily ETF
APHU,T-REX 2X Long APH Daily Target ETF
APLX,Tradr 2X Long APLD Daily ETF
APLZ,Tradr 2X Short APLD Daily ETF
APMI,Corgi AMAT 2x Daily ETF
APPC,Corgi APP 2x Daily ETF
APPX,Tradr 2X Long APP Daily ETF
ARCX,Tradr 2X Long ACHR Daily ETF
ARMA,Corgi ARM 2x Daily ETF
ARMG,Leverage Shares 2X Long ARM Daily ETF
ASMG,Leverage Shares 2X Long ASML Daily ETF
ASMU,Direxion Daily ASML Bull 2X ETF
ASMZ,Corgi ASML 2x Daily ETF
ASTG,Leverage Shares 2X Long ASTS Daily ETF
ASTN,Defiance Daily Target 2X Short ASTS ETF
ASTT,Corgi ASTS 2x Daily ETF
ASTX,Tradr 2X Long ASTS Daily ETF
ASTY,Defiance Daily Target 2X Long ASTS ETF
ASUP,T-REX 2X Long ASTS Daily Target ETF
AVAZ,2x Avalanche ETF
AVGC,Corgi AVGO 2x Daily ETF
AVGG,Leverage Shares 2X Long AVGO Daily ETF
AVGU,GraniteShares 2x Long AVGO Daily ETF
AVGX,Defiance Daily Target 2X Long AVGO ETF
AVL,Direxion Daily AVGO Bull 2X ETF
AVXX,Defiance Daily Target 2x Long AVAV ETF
AXTC,Corgi AXTI 2x Daily ETF
AXTL,Leverage Shares 2X Long AXTI Daily ETF
AXTQ,Tradr 2X Short AXTI Daily ETF
AXTU,T-REX 2X Long AXTI Daily Target ETF
AXTX,Tradr 2X Long AXTI Daily ETF
BABC,Corgi BABA 2x Daily ETF
BABU,Direxion Daily BABA Bull 2X ETF
BABX,GraniteShares 2x Long BABA Daily ETF
BAIG,Leverage Shares 2X Long BBAI Daily ETF
BBUL,GraniteShares 2x Long BB Daily ETF
BEC,Corgi BE 2x Daily ETF
BEG,Leverage Shares 2x Long BE Daily ETF
BEGS,Rareview 2x Bull Cryptocurrency & Precious Metals ETF
BEX,Tradr 2X Long BE Daily ETF
BEZ,Tradr 2X Short BE Daily ETF
BIB,ProShares Ultra Nasdaq Biotechnology 2X Shares
BIDG,Leverage Shares 2X Long BIDU Daily ETF
BIS,ProShares UltraShort Nasdaq Biotechnology -2x Shares
BITX,2x Bitcoin ETF
BLSG,Leverage Shares 2X Long BLSH Daily ETF
BMNG,Leverage Shares 2X Long BMNR Daily ETF
BMNU,T-REX 2X Long BMNR Daily Target ETF
BMNZ,Defiance Daily Target 2X Short BMNR ETF
BNMC,Corgi BMNR 2x Daily ETF
BOEG,Leverage Shares 2X Long BA Daily ETF
BOEU,Direxion Daily BA Bull 2X ETF
BOIL,ProShares Ultra Bloomberg Natural Gas 2x Shares
BRKL,Corgi BRKB 2x Daily ETF
BRKU,Direxion Daily BRKB Bull 2X ETF
BRZU,Direxion Daily Brazil Bull 2X ETF
BRZX,Corgi Brazil 2x Daily ETF
BTCL,T-Rex 2X Long Bitcoin Daily Target ETF
BTCU,Direxion Daily Bitcoin Bull 2X ETF
BTCZ,T-Rex 2X Inverse Bitcoin Daily Target ETF
BTDL,GraniteShares 2x Long BTDR Daily ETF
BULG,Leverage Shares 2X Long BULL Daily ETF
BZQ,ProShares UltraShort MSCI Brazil Capped ETF -2x Shares
CAMC,Corgi CAMT 2x Daily ETF
CARX,Corgi CART 2x Daily ETF
CATG,Leverage Shares 2X Long CAT Daily ETF
CBRG,Leverage Shares 2X Long CBRS Daily ETF
CBRX,Tradr 2X Long CBRS Daily ETF
CBRZ,Tradr 2X Short CBRS Daily ETF
CCPX,Corgi China 2x Daily ETF
CCUP,T-REX 2X Long CRCL Daily Target ETF
CDNG,Leverage Shares 2X Long CDNS Daily ETF
CEGX,Tradr 2X Long CEG Daily ETF
CHAU,Direxion Daily CSI 300 China A Share Bull 2X ETF
CHNU,2x Chainlink ETF
CIEG,Leverage Shares 2X Long CIEN Daily ETF
CIEX,Tradr 2X Long CIEN Daily ETF
CIFC,Corgi CIFR 2x Daily ETF
CIFG,Leverage Shares 2X Long CIFR Daily ETF
CIFU,T-REX 2X Long CIFR Daily Target ETF
CIR,Corgi CRCL 2x Daily ETF
CLSX,Tradr 2X Long CLSK Daily ETF
COHC,Corgi COHR 2x Daily ETF
COHH,Leverage Shares 2X Long COHR Daily ETF
COHQ,Tradr 2X Short COHR Daily ETF
COHX,Tradr 2X Long COHR Daily ETF
COIG,Leverage Shares 2X Long COIN Daily ETF
COIX,Corgi COIN 2x Daily ETF
CONI,GraniteShares 2x Short COIN Daily ETF
CONL,GraniteShares 2x Long COIN Daily ETF
CONX,Direxion Daily COIN Bull 2X ETF
COPZ,Defiance Daily Target 2X Long Copper Miners ETF
CORD,T-REX 2X Inverse CRWV Daily Target ETF
COTG,Leverage Shares 2X Long COST Daily ETF
COZX,Tradr 2X Long CORZ Daily ETF
CPNX,Tradr 2X Long CPNG Daily ETF
CPXR,USCF Daily Target 2X Copper Index ETF
CRCD,T-REX 2X Inverse CRCL Daily Target ETF
CRCG,Leverage Shares 2X Long CRCL Daily ETF
CRD,Corgi CRDO 2x Daily ETF
CRDU,Tradr 2X Long CRDO Daily ETF
CRDX,2x Cardano ETF
CRMG,Leverage Shares 2X Long CRM Daily ETF
CRMU,Leverage Shares 2x Long CRML Daily ETF
CRMX,Tradr 2X Long CRML Daily ETF
CRUC,Corgi CRUS 2x Daily ETF
CRWC,Corgi CRWD 2x Daily ETF
CRWG,Leverage Shares 2X Long CRWV Daily ETF
CRWL,GraniteShares 2x Long CRWD Daily ETF
CRWU,T-REX 2X Long CRWV Daily Target ETF
CRWX,Corgi CRWV 2x Daily ETF
CSCL,Direxion Daily CSCO Bull 2X ETF
CSEX,Tradr 2X Long CLS Daily ETF
CWEB,Direxion Daily CSI China Internet Index Bull 2X ETF
CWVX,Tradr 2X Long CRWV Daily ETF
CXRN,Teucrium 2x Daily Corn ETF
DAMD,Defiance Daily Target 2X Short AMD ETF
DDM,ProShares Ultra Dow30 2x Shares
DJTU,T-REX 2X Long DJT Daily Target ETF
DLLL,GraniteShares 2x Long DELL Daily ETF
DRAL,Defiance Daily Target 2X Long DRAM ETF
DRIP,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X ETF
DUOG,Leverage Shares 2X Long DUOL Daily ETF
DUST,Direxion Daily Gold Miners Index Bear 2X ETF
DXD,ProShares UltraShort Dow 30-2X Shares
ECHX,Leverage Shares 2X Long ECHO Daily ETF
EET,ProShares Ultra MSCI Emerging Markets 2x Shares
EEV,ProShares UltraShort MSCI Emerging Markets -2x Shares
EFO,ProShares Ultra MSCI EAFE 2x Shares
EFU,ProShares UltraShort MSCI EAFE -2x Shares
ELIL,Direxion Daily LLY Bull 2X ETF
EMXX,Corgi Emerging Markets 2x Daily ETF
ENTL,Leverage Shares 2X Long ENTG Daily ETF
EO,Corgi EOSE 2x Daily ETF
EOSU,T-REX 2X Long EOSE Daily Target ETF
EPV,ProShares UltraShort FTSE Europe -2X Shares
ERX,Direxion Daily Energy Bull 2X ETF
ERY,Direxion Daily Energy Bear 2X ETF
ETHU,2x Ether ETF
ETNG,Leverage Shares 2X Long ETN Daily ETF
ETU,T-Rex 2X Long Ether Daily Target ETF
EUO,ProShares UltraShort Euro -2X Shares
EUVX,Corgi Lithography & Semiconductor Photonics 2x Daily ETF
EVMU,Direxion Daily Ether Bull 2X ETF
EWV,ProShares UltraShort MSCI Japan -2x Shares
EZJ,ProShares Ultra MSCI Japan 2x Shares
FBL,GraniteShares 2x Long META Daily ETF
FBX,Corgi META 2x Daily ETF
FCXG,Leverage Shares 2x Long FCX Daily ETF
FDRX,Founder-Led 2X Daily ETF
FGRU,T-REX 2X Long FIGR Daily Target ETF
FIGG,Leverage Shares 2x Long FIG Daily ETF
FIXX,Leverage Shares 2X Long FIX Daily ETF
FLEL,Leverage Shares 2X Long FLEX Daily ETF
FLYT,Tradr 2X Long FLY Daily ETF
FNG,Leverage Shares 2X Long FN Daily ETF
FNGG,Direxion Daily NYSE FANG+ Bull 2X ETF
FNGO,MicroSectors FANG+Index 2X Leveraged ETNs
FOMG,Leverage Shares 2X Long FORM Daily ETF
FPSX,Leverage Shares 2X Long FPS Daily ETF
FUTG,Leverage Shares 2x Long FUTU Daily ETF
GEMG,Leverage Shares 2X Long GEMI Daily ETF
GEVC,Corgi GEV 2x Daily ETF
