Name,Ticker,Sector,Industry,Country
NVIDIA CORP,NVDA,Technology,Semiconductors,United States
APPLE INC,AAPL,Technology,Consumer Electronics,United States
MICROSOFT CORP,MSFT,Technology,Software - Infrastructure,United States
AMAZON.COM INC,AMZN,Consumer Cyclical,Internet Retail,United States
ALPHABET INC CL A,GOOGL,Communication Services,Internet Content & Information,United States
BROADCOM INC,AVGO,Technology,Semiconductors,United States
ALPHABET INC CL C,GOOG,Communication Services,Internet Content & Information,United States
META PLATFORMS INC CLASS A,META,Communication Services,Internet Content & Information,United States
TESLA INC,TSLA,Consumer Cyclical,Auto Manufacturers,United States
MICRON TECHNOLOGY INC,MU,Technology,Semiconductors,United States
ELI LILLY + CO,LLY,Healthcare,Drug Manufacturers - General,United States
BERKSHIRE HATHAWAY INC CL B,BRK-B,Financial Services,Insurance - Diversified,United States
JPMORGAN CHASE + CO,JPM,Financial Services,Banks - Diversified,United States
ADVANCED MICRO DEVICES,AMD,Technology,Semiconductors,United States
JOHNSON + JOHNSON,JNJ,Healthcare,Drug Manufacturers - General,United States
INTEL CORP,INTC,Technology,Semiconductors,United States
VISA INC CLASS A SHARES,V,Financial Services,Credit Services,United States
EXXONMOBIL HOLDINGS CORP,XOM,Energy,Oil & Gas Integrated,United States
APPLIED MATERIALS INC,AMAT,Technology,Semiconductor Equipment & Materials,United States
LAM RESEARCH CORP,LRCX,Technology,Semiconductor Equipment & Materials,United States
WALMART INC,WMT,Consumer Defensive,Discount Stores,United States
CISCO SYSTEMS INC,CSCO,Technology,Communication Equipment,United States
CATERPILLAR INC,CAT,Industrials,Farm & Heavy Construction Machinery,United States
ABBVIE INC,ABBV,Healthcare,Drug Manufacturers - General,United States
MASTERCARD INC   A,MA,Financial Services,Credit Services,United States
COSTCO WHOLESALE CORP,COST,Consumer Defensive,Discount Stores,United States
UNITEDHEALTH GROUP INC,UNH,Healthcare,Healthcare Plans,United States
GENERAL ELECTRIC,GE,Industrials,Aerospace & Defense,United States
BANK OF AMERICA CORP,BAC,Financial Services,Banks - Diversified,United States
HOME DEPOT INC,HD,Consumer Cyclical,Home Improvement Retail,United States
KLA CORP,KLAC,Technology,Semiconductor Equipment & Materials,United States
PROCTER + GAMBLE CO/THE,PG,Consumer Defensive,Household & Personal Products,United States
COCA COLA CO/THE,KO,Consumer Defensive,Beverages - Non-Alcoholic,United States
CHEVRON CORP,CVX,Energy,Oil & Gas Integrated,United States
