Industry (From List),Representative ETF,Ticker
Advertising Agencies,Communication Services Select Sector SPDR,XLC
Aerospace & Defense,iShares U.S. Aerospace & Defense ETF,ITA
Agricultural Inputs,iShares MSCI Global Agriculture Producers ETF,VEGI
Airlines,U.S. Global Jets ETF,JETS
Aluminum,SPDR S&P Metals & Mining ETF,XME
Apparel Manufacturing,Consumer Discretionary Select Sector SPDR,XLY
Apparel Retail,SPDR S&P Retail ETF,XRT
Asset Management,SPDR S&P Capital Markets ETF,KCE
Auto & Truck Dealerships,Vanguard Consumer Discretionary ETF,VCR
Auto Manufacturers,First Trust S&P Global Auto Index Fund,CARZ
Auto Parts,Vanguard Consumer Discretionary ETF,VCR
Banks - Diversified,SPDR S&P Bank ETF,KBE
Banks - Regional,SPDR S&P Regional Banking ETF,KRE
Beverages - Brewers,Invesco Dynamic Food & Beverage ETF,PBJ
Beverages - Non-Alcoholic,Consumer Staples Select Sector SPDR,XLP
Beverages - Wineries & Distilleries,Consumer Staples Select Sector SPDR,XLP
Biotechnology,SPDR S&P Biotech ETF,XBI
Broadcasting,Invesco Dynamic Media ETF,PBS
Building Materials,SPDR S&P Homebuilders ETF,XHB
Building Products & Equipment,iShares U.S. Home Construction ETF,ITB
Capital Markets,SPDR S&P Capital Markets ETF,KCE
Chemicals,Vanguard Materials ETF,VAW
Coking Coal,SPDR S&P Metals & Mining ETF,XME
Communication Equipment,iShares North American Tech-Multimedia Networking ETF,IGN
Computer Hardware,Technology Select Sector SPDR,XLK
Confectioners,Consumer Staples Select Sector SPDR,XLP
Conglomerates,Industrials Select Sector SPDR,XLI
Consulting Services,Industrials Select Sector SPDR,XLI
Consumer Electronics,Vanguard Consumer Discretionary ETF,VCR
Copper,Global X Copper Miners ETF,COPX
Credit Services,Financial Select Sector SPDR,XLF
Department Stores,SPDR S&P Retail ETF,XRT
Diagnostics & Research,Health Care Select Sector SPDR,XLV
Discount Stores,SPDR S&P Retail ETF,XRT
Drug Manufacturers - General,VanEck Pharmaceutical ETF,PPH
Drug Manufacturers - Specialty & Generic,VanEck Pharmaceutical ETF,PPH
Education & Training Services,Consumer Discretionary Select Sector SPDR,XLY
Electrical Equipment & Parts,Industrials Select Sector SPDR,XLI
Electronic Components,Technology Select Sector SPDR,XLK
Electronic Gaming & Multimedia,VanEck Video Gaming and eSports ETF,ESPO
Electronics & Computer Distribution,Technology Select Sector SPDR,XLK
Engineering & Construction,Global X U.S. Infrastructure Development ETF,PAVE
Entertainment,Invesco Dynamic Leisure and Entertainment ETF,PEJ
Farm & Heavy Construction Machinery,Industrials Select Sector SPDR,XLI
Farm Products,VanEck Agribusiness ETF,MOO
Financial Conglomerates,Financial Select Sector SPDR,XLF
Financial Data & Stock Exchanges,SPDR S&P Capital Markets ETF,KCE
Food Distribution,Consumer Staples Select Sector SPDR,XLP
Footwear & Accessories,Consumer Discretionary Select Sector SPDR,XLY
"Furnishings, Fixtures & Appliances",SPDR S&P Homebuilders ETF,XHB
Gambling,VanEck Gaming ETF,BJK
Gold,VanEck Gold Miners ETF,GDX
Grocery Stores,Consumer Staples Select Sector SPDR,XLP
Health Information Services,Health Care Select Sector SPDR,XLV
Healthcare Plans,iShares U.S. Healthcare Providers ETF,IHF
Home Improvement Retail,SPDR S&P Retail ETF,XRT
Household & Personal Products,Consumer Staples Select Sector SPDR,XLP
Industrial Distribution,Industrials Select Sector SPDR,XLI
Information Technology Services,Technology Select Sector SPDR,XLK
Insurance - Diversified,SPDR S&P Insurance ETF,KIE
Insurance - Life,SPDR S&P Insurance ETF,KIE
Insurance - Property & Casualty,Invesco KBW Property & Casualty Insurance ETF,KBWP
Insurance - Reinsurance,SPDR S&P Insurance ETF,KIE
Insurance - Specialty,SPDR S&P Insurance ETF,KIE
Insurance Brokers,SPDR S&P Insurance ETF,KIE
Integrated Freight & Logistics,iShares Transportation Average ETF,IYT
Internet Content & Information,First Trust Dow Jones Internet Index Fund,FDN
Internet Retail,Consumer Discretionary Select Sector SPDR,XLY
Leisure,Invesco Dynamic Leisure and Entertainment ETF,PEJ
Lodging,Invesco Dynamic Leisure and Entertainment ETF,PEJ
Lumber & Wood Production,iShares Global Timber & Forestry ETF,WOOD
Luxury Goods,Consumer Discretionary Select Sector SPDR,XLY
Marine Shipping,Invesco Shipping ETF,SEA
Medical Care Facilities,iShares U.S. Healthcare Providers ETF,IHF
Medical Devices,iShares U.S. Medical Devices ETF,IHI
Medical Distribution,iShares U.S. Healthcare Providers ETF,IHF
Medical Instruments & Supplies,iShares U.S. Medical Devices ETF,IHI
Metal Fabrication,SPDR S&P Metals & Mining ETF,XME
Mortgage Finance,iShares Mortgage Real Estate ETF,REM
Oil & Gas Drilling,SPDR S&P Oil & Gas Exploration & Production ETF,XOP
Oil & Gas E&P,SPDR S&P Oil & Gas Exploration & Production ETF,XOP
Oil & Gas Equipment & Services,VanEck Oil Services ETF,OIH
Oil & Gas Integrated,Energy Select Sector SPDR,XLE
Oil & Gas Midstream,Alerian MLP ETF,AMLP
Oil & Gas Refining & Marketing,VanEck Oil Refiners ETF,CRAK
Other Industrial Metals & Mining,SPDR S&P Metals & Mining ETF,XME
Other Precious Metals & Mining,VanEck Gold Miners ETF,GDX
Packaged Foods,Invesco Dynamic Food & Beverage ETF,PBJ
Packaging & Containers,Materials Select Sector SPDR,XLB
Paper & Paper Products,iShares Global Timber & Forestry ETF,WOOD
Personal Services,Consumer Discretionary Select Sector SPDR,XLY
Pollution & Treatment Controls,VanEck Environmental Services ETF,EVX
Publishing,Invesco Dynamic Media ETF,PBS
Railroads,iShares Transportation Average ETF,IYT
Real Estate - Development,Vanguard Real Estate Index Fund,VNQ
Real Estate - Diversified,Vanguard Real Estate Index Fund,VNQ
Real Estate Services,Vanguard Real Estate Index Fund,VNQ
Recreational Vehicles,Consumer Discretionary Select Sector SPDR,XLY
REIT - Diversified,Vanguard Real Estate Index Fund,VNQ
REIT - Healthcare Facilities,iShares Residential and Multisector Real Estate ETF,REZ
REIT - Hotel & Motel,Vanguard Real Estate Index Fund,VNQ
REIT - Industrial,Pacer Benchmark Industrial Real Estate SCTR ETF,INDS
REIT - Mortgage,iShares Mortgage Real Estate ETF,REM
REIT - Office,Vanguard Real Estate Index Fund,VNQ
REIT - Residential,iShares Residential and Multisector Real Estate ETF,REZ
REIT - Retail,Vanguard Real Estate Index Fund,VNQ
REIT - Specialty,Vanguard Real Estate Index Fund,VNQ
Rental & Leasing Services,Industrials Select Sector SPDR,XLI
Residential Construction,iShares U.S. Home Construction ETF,ITB
Resorts & Casinos,VanEck Gaming ETF,BJK
Restaurants,AdvisorShares Restaurant ETF,EATZ
Scientific & Technical Instruments,Technology Select Sector SPDR,XLK
